Concepto,2025-Mar,2025-Abr,2025-May,2025-Jun,2025-Jul,2025-Ago,2025-Sep,2025-Oct,2025-Nov,2025-Dic,2026-Ene,2026-Feb,2026-Mar,Zona,Departamento,Tipo_Movimiento
1.1.2.3.4 Texistepeque,0,0,0,0,0,3.39,0,0,0,0,0,0,0,,,
1.1.2.4 Santa Ana Oeste,3850.86,3046.35,2877.91,1599.48,1782.06,890.57,844.27,160.2,177.26,947.2,1411.95,3247.58,2541.55,,,
1.1.2.4.1 Candelaria de la Frontera,0,0,3,2,0,0,0,0,0,0,0,0,0,,,
1.1.2.4.2 Chalchuapa,3850.86,3046.35,2874.91,1597.48,1782.06,890.57,844.27,160.2,177.26,947.2,1411.95,3247.58,2541.55,,,
1.1.2.4.3 El Porvenir,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.1.2.4.4 San Antonio Pajonal,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.1.2.4.5 San Sebastián Salitrillo,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.1.2.4.6 Santiago de la Frontera,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.1.3.1 Sonsonate Centro,267.59,161.22,266.41,135.34,104,101.63,38.79,13.74,58.13,68.92,0,40.86,476.97,,,
1.1.3.1.1 Nahulingo,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.1.3.1.2 San Antonio del Monte,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.1.3.1.3 Santo Domingo de Guzmán,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.1.3.1.4 Sonsonate,267.59,161.22,266.41,135.34,104,101.63,38.79,13.74,58.13,68.92,0,40.86,476.97,,,
1.1.3.1.5 Sonzacate,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.1.3.2 Sonsonate Este,1649.33,1016.24,1675.81,1255.93,1472.45,1088.97,1744.05,1226.77,1372.42,1575.7,1838.18,1420.76,1308.01,,,
1.1.3.2.1 Armenia,0,0,0,0,0,0.46,0,0,0,0,0,0,0,,,
1.1.3.2.2 Caluco,22,4.17,0,3.44,4.17,3.59,6.8,0,11.01,0,11.01,5.5,4,,,
1.1.3.2.3 Cuisnahuat,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.1.3.2.4 Santa Isabel Ishuatán,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.1.3.2.5 Izalco,1572.97,1012.07,1675.81,1252.49,1468.28,1084.93,1677.25,1226.77,1361.41,1575.7,1827.18,1415.26,1304.01,,,
1.1.3.2.6 San Julián,54.36,0,0,0,0,0,60,0,0,0,0,0,0,,,
1.1.3.3 Sonsonate Norte,102.71,1663.57,106.22,1001.93,1163.11,0,0,0,0,0,145.36,493.03,418.9,,,
1.1.3.3.1 Juayúa,102.71,1663.57,106.22,1001.93,1163.11,0,0,0,0,0,145.36,493.03,418.9,,,
1.1.3.3.2 Nahuizalco,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.1.3.3.3 Salcoatitán,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.1.3.3.4 Santa Catarina Masahuat,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.1.3.4 Sonsonate Oeste,0,0,0,0,0,0,0,0,0,0,1,0,0,,,
1.1.3.4.1 Acajutla,0,0,0,0,0,0,0,0,0,0,1,0,0,,,
1.2.1.1 Chalatenango Centro,9.34,3.48,11.58,14.87,14.68,14.31,17.24,8.19,9.76,7.72,16.77,11.59,32.97,,,
1.2.1.1.1 Agua Caliente,0,0,0,0,0,0,0,0,0,7.72,0,0,20.06,,,
1.2.1.1.2 Dulce Nombre de María,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.2.1.1.3 El Paraíso,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.2.1.1.4 La Reina,9.34,3.48,11.58,9.18,14.68,10.08,17.24,8.19,6.56,0,12.23,11.59,7.78,,,
1.2.1.1.5 Nueva Concepción,0,0,0,5.68,0,4.23,0,0,3.2,0,4.54,0,5.13,,,
1.2.1.1.6 San Fernando,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.2.1.1.7 San Francisco Morazán,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.2.1.1.8 San Rafael,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.2.1.1.9 Santa Rita,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.2.1.1.10 Tejutla,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.2.1.2 Chalatenango Norte,5.49,3.66,3.24,3.55,4.62,10.05,3.86,4,10.02,2.45,1.42,0.56,0.56,,,
1.2.1.2.1 Citalá,5.49,3.66,3.24,3.55,4.62,3.4,2.85,2.95,2.82,2.45,1.42,0.56,0.56,,,
1.2.1.2.2 La Palma,0,0,0,0,0,6.65,1.01,1.05,7.19,0,0,0,0,,,
1.2.1.2.3 San Ignacio,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.2.1.3 Chalatenango Sur,18.34,5.95,59.42,12.21,0.8,0.7,0.4,12.22,4.31,34.85,0,6,0,,,
1.2.1.3.1 Arcatao,0,0,0,5.44,0,0,0,0,0,0,0,0,0,,,
1.2.1.3.2 Azacualpa,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.2.1.3.3 Comalapa,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.2.1.3.4 Concepción Quezaltepeque,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.2.1.3.5 Chalatenango,1.55,5.25,53.7,6.36,0,0,0,0,3.51,32.11,0,0,0,,,
1.2.1.3.6 El Carrizal,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.2.1.3.7 La Laguna,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.2.1.3.8 Las Vueltas,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.2.1.3.9 Nombre de Jesús,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.2.1.3.10 Nueva Trinidad,0,0,0,0,0,0,0,4.32,0,0,0,0,0,,,
1.2.1.3.11 Ojos de Agua,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.2.1.3.12 Potonico,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.2.1.3.13 San Antonio de la Cruz,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.2.1.3.14 San Antonio los Ranchos,0,0,0,0,0,0,0,0,0,0,0,6,0,,,
1.2.1.3.15 San Francisco Lempa,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.2.1.3.16 San Isidro Labrador,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.2.1.3.17 San José Cancasque / Cancasque,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.2.1.3.18 San José las Flores / Las Flores,16.8,0.7,5.72,0.4,0.8,0.7,0.4,7.89,0.8,2.73,0,0,0,,,
1.2.1.3.19 San Luis del Carmen,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.2.1.3.20 San Miguel de Mercedes,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.2.2.1 La Libertad Centro,2541.64,2710.44,2855.69,3476.57,3493.79,3237.53,3279.2,2684.92,2401.65,2466.27,3661.17,2910.01,3293.72,,,
1.2.2.1.1 Ciudad Arce,601.53,664.29,773.39,568.98,751.63,596.58,532.91,626.41,463.05,451.46,585.76,572.1,584.24,,,
1.2.2.1.2 San Juan Opico,1940.1,2046.14,2082.31,2907.59,2742.16,2640.96,2746.29,2058.51,1938.59,2014.81,3075.41,2337.91,2709.48,,,
1.2.2.2 La Libertad Costa,89.24,17.06,1.53,9.6,2.91,0,0,25,0,1.46,1.13,2,1.7,,,
1.2.2.2.1 Chiltiupán,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.2.2.2.2 Jicalapa,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.2.2.2.3 La Libertad,89.24,17.06,1.53,9.6,2.91,0,0,25,0,1.46,1.13,2,1.7,,,
1.2.2.2.4 Tamanique,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.2.2.2.5 Teotepeque,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.2.2.3 La Libertad Este,6191.56,6529.83,6302.62,7444.34,7317.42,5876.22,5279.41,5814.46,5549.61,5408.69,5217.72,5832.95,6455.99,,,
1.2.2.3.1 Antiguo Cuscatlán,6191.56,6529.83,6302.62,7444.34,7317.42,5876.22,5279.41,5814.46,5547.49,5408.69,5217.72,5832.95,6455.99,,,
1.2.2.3.2 Huizúcar,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.2.2.3.3 Nuevo Cuscatlán,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.2.2.3.4 San José Villanueva,0,0,0,0,0,0,0,0,2.12,0,0,0,0,,,
1.2.2.3.5 Zaragoza,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.2.2.4 La Libertad Norte,26.14,0,0,0,11.39,1.2,0,4.61,30,0,5.88,0,1.5,,,
1.2.2.4.1 Quezaltepeque,26.14,0,0,0,11.39,1.2,0,4.61,30,0,5.88,0,1.5,,,
1.2.2.4.2 San Matías,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.2.2.4.3 San Pablo Tacachico,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.2.2.5 La Libertad Oeste,11.39,4,7.25,8.04,29.87,31.43,3.2,11.31,13.58,3.2,4,4,6.4,,,
1.2.2.5.1 Colón,11.39,4,7.25,8.04,21.99,31.43,3.2,11.31,13.58,3.2,4,4,6.4,,,
1.2.2.5.2 Jayaque,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.2.2.5.3 Sacacoyo,0,0,0,0,7.88,0,0,0,0,0,0,0,0,,,
1.2.2.5.4 Talnique,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.2.2.5.5 Tepecoyo,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.2.2.6 La Libertad Sur,22807.52,21830.21,24025.58,21542.71,24360.64,21216.54,22865.4,21012.36,22540.12,20050.32,23985.67,21837.43,22980.74,,,
1.2.2.6.1 Comasagua,0,115.5,0,0,0,0,464.06,0,0,0,0,0,0,,,
1.2.2.6.2 Santa Tecla,22807.52,21714.71,24025.58,21542.71,24360.64,21216.54,22401.33,21012.36,22540.12,20050.32,23985.67,21837.43,22980.74,,,
1.2.3.1 San Salvador Centro,502021.43,479799.22,525104.41,478162.43,533923.22,474939.32,466821.37,488532.86,455154.06,410641.19,496213.6,457392.7,513261.51,,,
1.2.3.1.1 Ayutuxtepeque,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.2.3.1.2 Cuscatancingo,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.2.3.1.3 Mejicanos,4.2,0,0,0,0,2.3,0,0,0,0,0,0,0,,,
1.2.3.1.4 San Salvador,502013.88,479797.53,525094.46,478158.77,533918.33,474937.02,466821.37,488527.95,455152.06,410636.2,496212.38,457392.42,513259.7,,,
1.2.3.1.5 Ciudad Delgado,3.35,1.7,9.95,3.66,4.89,0,0,4.92,2,4.99,1.22,0.28,1.8,,,
1.2.3.2 San Salvador Este,4787.77,3214.25,2723.98,5324.88,5183.2,3553.24,3097.05,3065.39,3899.7,4813.91,4141.73,4208.78,4217.21,,,
1.2.3.2.1 Ilopango,763.07,629.1,471.47,1455.45,1415.14,411.86,556.95,312.05,833.13,1201.04,1181.01,454.83,718.49,,,
1.2.3.2.2 San Martín,174.04,146.41,173.7,168.02,173.07,159.83,134.81,116.99,103.09,130.42,125.03,202.37,166.01,,,
1.2.3.2.3 Soyapango,3850.66,2438.74,2078.81,3701.41,3594.99,2981.55,2405.29,2636.34,2963.48,3482.45,2835.69,3551.58,3332.71,,,
1.2.3.2.4 Tonacatepeque,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.2.3.3 San Salvador Norte,8.68,0,0.43,0,0,0,0,6.8,0,0,0,17.78,0,,,
1.2.3.3.1 Aguilares,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.2.3.3.2 El Paisnal,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.2.3.3.3 Guazapa,8.68,0,0.43,0,0,0,0,6.8,0,0,0,17.78,0,,,
1.2.3.4 San Salvador Oeste,0,0,0,0,0,0,0,7.68,0,0,0,0,0,,,
1.2.3.4.1 Apopa,0,0,0,0,0,0,0,7.68,0,0,0,0,0,,,
1.2.3.4.2 Nejapa,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.2.3.5 San Salvador Sur,105.94,69.19,51.47,40.96,96.15,46.22,31.59,106.29,119.95,64.46,16.09,90.13,0,,,
1.2.3.5.1 Panchimalco,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
